OBJECTID,Date,Fatalities,Confidence,Inventory,LS_ID,Info_source,InventoryURL,Notes,Latitude,Longitude,US Level I ecoregion
48,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Pinewood Lake",40.49126789,-105.3310056,NORTHWESTERN_FORESTED_MOUNTAINS
54,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Pinewood Lake",40.41337242,-105.4026503,NORTHWESTERN_FORESTED_MOUNTAINS
56,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Longs Peak",40.28729939,-105.510513,NORTHWESTERN_FORESTED_MOUNTAINS
58,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Longs Peak",40.31918687,-105.5384288,NORTHWESTERN_FORESTED_MOUNTAINS
59,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.19007788,-105.3731953,NORTHWESTERN_FORESTED_MOUNTAINS
60,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.19057757,-105.3718568,NORTHWESTERN_FORESTED_MOUNTAINS
61,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.19300152,-105.3682144,NORTHWESTERN_FORESTED_MOUNTAINS
62,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.19399413,-105.3677959,NORTHWESTERN_FORESTED_MOUNTAINS
63,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.19369366,-105.3682734,NORTHWESTERN_FORESTED_MOUNTAINS
64,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Lyons",40.18869213,-105.336946,NORTHWESTERN_FORESTED_MOUNTAINS
65,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.18779896,-105.3378566,NORTHWESTERN_FORESTED_MOUNTAINS
66,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.19599965,-105.3299844,NORTHWESTERN_FORESTED_MOUNTAINS
67,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Channel, Lyons",40.19291236,-105.3304034,NORTHWESTERN_FORESTED_MOUNTAINS
68,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Lyons",40.19355125,-105.330407,NORTHWESTERN_FORESTED_MOUNTAINS
69,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.20296118,-105.331331,NORTHWESTERN_FORESTED_MOUNTAINS
81,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Earth Slide, Open Slope, Lyons",40.1979777,-105.3257498,NORTHWESTERN_FORESTED_MOUNTAINS
82,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Rock Fall, Open Slope, Lyons",40.19713061,-105.3287146,NORTHWESTERN_FORESTED_MOUNTAINS
83,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Slide, Open Slope, Lyons",40.18924983,-105.33078,NORTHWESTERN_FORESTED_MOUNTAINS
84,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.18875075,-105.3287139,NORTHWESTERN_FORESTED_MOUNTAINS
89,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.18124341,-105.3110713,NORTHWESTERN_FORESTED_MOUNTAINS
90,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.18105679,-105.3112521,NORTHWESTERN_FORESTED_MOUNTAINS
91,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Slide, Open Slope, Lyons",40.18389522,-105.3415731,NORTHWESTERN_FORESTED_MOUNTAINS
92,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Slide, Open Slope, Lyons",40.17785139,-105.3448211,NORTHWESTERN_FORESTED_MOUNTAINS
93,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Slide, Open Slope, Lyons",40.17773837,-105.3450352,NORTHWESTERN_FORESTED_MOUNTAINS
94,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.17735766,-105.3460227,NORTHWESTERN_FORESTED_MOUNTAINS
95,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.17673305,-105.3474742,NORTHWESTERN_FORESTED_MOUNTAINS
96,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Slide, Open Slope, Lyons",40.1772601,-105.3492564,NORTHWESTERN_FORESTED_MOUNTAINS
97,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Slide, Open Slope, Lyons",40.17737193,-105.3493706,NORTHWESTERN_FORESTED_MOUNTAINS
98,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.17782165,-105.3499274,NORTHWESTERN_FORESTED_MOUNTAINS
99,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.17789541,-105.3499774,NORTHWESTERN_FORESTED_MOUNTAINS
100,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Slide, Open Slope, Lyons",40.1780477,-105.3504033,NORTHWESTERN_FORESTED_MOUNTAINS
105,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.17444876,-105.3624993,NORTHWESTERN_FORESTED_MOUNTAINS
106,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Slide, Open Slope, Lyons",40.1741668,-105.3624922,NORTHWESTERN_FORESTED_MOUNTAINS
107,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Slide, Open Slope, Lyons",40.17362428,-105.3624922,NORTHWESTERN_FORESTED_MOUNTAINS
108,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Slide, Open Slope, Lyons",40.17322866,-105.362439,NORTHWESTERN_FORESTED_MOUNTAINS
109,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Slide, Open Slope, Lyons",40.171635,-105.3639002,NORTHWESTERN_FORESTED_MOUNTAINS
110,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Lyons",40.17706973,-105.3713925,NORTHWESTERN_FORESTED_MOUNTAINS
111,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.17679558,-105.3722872,NORTHWESTERN_FORESTED_MOUNTAINS
112,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.17978408,-105.3708803,NORTHWESTERN_FORESTED_MOUNTAINS
113,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Lyons",40.18062459,-105.3715009,NORTHWESTERN_FORESTED_MOUNTAINS
114,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Lyons",40.17810004,-105.3712268,NORTHWESTERN_FORESTED_MOUNTAINS
115,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.18064568,-105.3722812,NORTHWESTERN_FORESTED_MOUNTAINS
116,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.18067882,-105.3727421,NORTHWESTERN_FORESTED_MOUNTAINS
117,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Lyons",40.18059748,-105.373676,NORTHWESTERN_FORESTED_MOUNTAINS
118,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Slide, Open Slope, Lyons",40.17183333,-105.3698807,NORTHWESTERN_FORESTED_MOUNTAINS
119,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Slide, Open Slope, Lyons",40.17140341,-105.3724976,NORTHWESTERN_FORESTED_MOUNTAINS
120,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Slide, Open Slope, Lyons",40.17149026,-105.3746938,NORTHWESTERN_FORESTED_MOUNTAINS
122,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.13441152,-105.3415992,NORTHWESTERN_FORESTED_MOUNTAINS
123,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.1338238,-105.3417741,NORTHWESTERN_FORESTED_MOUNTAINS
124,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.13374646,-105.3418514,NORTHWESTERN_FORESTED_MOUNTAINS
125,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.13327652,-105.3419406,NORTHWESTERN_FORESTED_MOUNTAINS
126,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.13293745,-105.3418276,NORTHWESTERN_FORESTED_MOUNTAINS
127,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.1294771,-105.3472003,NORTHWESTERN_FORESTED_MOUNTAINS
128,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.12323102,-105.3246311,NORTHWESTERN_FORESTED_MOUNTAINS
129,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Lyons",40.12251718,-105.3247144,NORTHWESTERN_FORESTED_MOUNTAINS
130,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Lyons",40.12430928,-105.3267053,NORTHWESTERN_FORESTED_MOUNTAINS
131,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.13747251,-105.3259393,NORTHWESTERN_FORESTED_MOUNTAINS
132,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.13723456,-105.3283545,NORTHWESTERN_FORESTED_MOUNTAINS
134,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Lyons",40.13445654,-105.3304127,NORTHWESTERN_FORESTED_MOUNTAINS
135,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.13652073,-105.324351,NORTHWESTERN_FORESTED_MOUNTAINS
136,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.1348908,-105.3259691,NORTHWESTERN_FORESTED_MOUNTAINS
137,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.13626493,-105.3238216,NORTHWESTERN_FORESTED_MOUNTAINS
138,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.13609688,-105.3241384,NORTHWESTERN_FORESTED_MOUNTAINS
139,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Lyons",40.12831248,-105.3262406,NORTHWESTERN_FORESTED_MOUNTAINS
140,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.12757485,-105.3250985,NORTHWESTERN_FORESTED_MOUNTAINS
141,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.13337121,-105.3414144,NORTHWESTERN_FORESTED_MOUNTAINS
142,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.12685744,-105.3435417,NORTHWESTERN_FORESTED_MOUNTAINS
143,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.12687528,-105.3427326,NORTHWESTERN_FORESTED_MOUNTAINS
144,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Lyons",40.12704185,-105.3232508,NORTHWESTERN_FORESTED_MOUNTAINS
147,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Panorama Peak",40.34703033,-105.4622237,NORTHWESTERN_FORESTED_MOUNTAINS
148,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Panorama Peak",40.34569244,-105.4670059,NORTHWESTERN_FORESTED_MOUNTAINS
152,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Panorama Peak",40.3450933,-105.4346809,NORTHWESTERN_FORESTED_MOUNTAINS
153,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Panorama Peak",40.34554697,-105.4352004,NORTHWESTERN_FORESTED_MOUNTAINS
159,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Panorama Peak",40.3163395,-105.4396114,NORTHWESTERN_FORESTED_MOUNTAINS
160,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Panorama Peak",40.31639027,-105.4396491,NORTHWESTERN_FORESTED_MOUNTAINS
163,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Panorama Peak",40.30984259,-105.426146,NORTHWESTERN_FORESTED_MOUNTAINS
171,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Panorama Peak",40.29986533,-105.4570555,NORTHWESTERN_FORESTED_MOUNTAINS
172,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Panorama Peak",40.29903536,-105.3774849,NORTHWESTERN_FORESTED_MOUNTAINS
173,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Panorama Peak",40.2982229,-105.4751652,NORTHWESTERN_FORESTED_MOUNTAINS
174,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Panorama Peak",40.29447075,-105.4960457,NORTHWESTERN_FORESTED_MOUNTAINS
176,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Panorama Peak",40.29203928,-105.5021145,NORTHWESTERN_FORESTED_MOUNTAINS
177,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Panorama Peak",40.28744502,-105.5110005,NORTHWESTERN_FORESTED_MOUNTAINS
178,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Panorama Peak",40.28217057,-105.5021869,NORTHWESTERN_FORESTED_MOUNTAINS
180,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Slide, Open Slope, Panorama Peak",40.27360797,-105.3917617,NORTHWESTERN_FORESTED_MOUNTAINS
181,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Slide, Open Slope, Panorama Peak",40.27317354,-105.3917265,NORTHWESTERN_FORESTED_MOUNTAINS
182,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Slide, Open Slope, Panorama Peak",40.27261772,-105.3917073,NORTHWESTERN_FORESTED_MOUNTAINS
183,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Rock Slide, Open Slope, Panorama Peak",40.27544448,-105.3906163,NORTHWESTERN_FORESTED_MOUNTAINS
184,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Panorama Peak",40.26988001,-105.3977324,NORTHWESTERN_FORESTED_MOUNTAINS
185,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Open Slope, Panorama Peak",40.27075064,-105.3962534,NORTHWESTERN_FORESTED_MOUNTAINS
190,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Panorama Peak",40.27407978,-105.4244483,NORTHWESTERN_FORESTED_MOUNTAINS
191,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Panorama Peak",40.2746798,-105.424717,NORTHWESTERN_FORESTED_MOUNTAINS
192,2013/9/9,,5,USGS, , ,http://www.geosociety.org/gsatoday/archive/24/10/article/i1052-5173-24-10-4.htm,"Debris Flow, Swale, Panorama Peak",40.27465887,-105.4258577,NORTHWESTERN_FORESTED_MOUNTAINS
